sale_id,sku,sale_date,quantity,unit_price,total
SKU001_20240101_938,SKU001,2024-01-01,4,17.24,68.96
SKU001_20240102_869,SKU001,2024-01-02,1,17.24,17.24
SKU001_20240103_340,SKU001,2024-01-03,3,17.24,51.72
SKU001_20240104_788,SKU001,2024-01-04,4,17.24,68.96
SKU001_20240105_417,SKU001,2024-01-05,3,17.24,51.72
SKU001_20240106_330,SKU001,2024-01-06,4,17.24,68.96
SKU001_20240107_925,SKU001,2024-01-07,4,17.24,68.96
SKU001_20240108_303,SKU001,2024-01-08,2,17.24,34.48
SKU001_20240109_250,SKU001,2024-01-09,4,17.24,68.96
SKU001_20240110_125,SKU001,2024-01-10,3,17.24,51.72
SKU001_20240111_147,SKU001,2024-01-11,2,17.24,34.48
SKU001_20240112_350,SKU001,2024-01-12,4,17.24,68.96
SKU001_20240113_586,SKU001,2024-01-13,7,17.24,120.67999999999999
SKU001_20240114_725,SKU001,2024-01-14,2,17.24,34.48
SKU001_20240115_970,SKU001,2024-01-15,3,17.24,51.72
SKU001_20240116_886,SKU001,2024-01-16,3,17.24,51.72
SKU001_20240117_174,SKU001,2024-01-17,3,17.24,51.72
SKU001_20240118_566,SKU001,2024-01-18,4,17.24,68.96
SKU001_20240119_524,SKU001,2024-01-19,3,17.24,51.72
SKU001_20240120_744,SKU001,2024-01-20,2,17.24,34.48
SKU001_20240121_689,SKU001,2024-01-21,5,17.24,86.19999999999999
SKU001_20240122_299,SKU001,2024-01-22,7,17.24,120.67999999999999
SKU001_20240123_835,SKU001,2024-01-23,1,17.24,17.24
SKU001_20240124_813,SKU001,2024-01-24,4,17.24,68.96
SKU001_20240125_493,SKU001,2024-01-25,3,17.24,51.72
SKU001_20240126_606,SKU001,2024-01-26,4,17.24,68.96
SKU001_20240127_509,SKU001,2024-01-27,8,17.24,137.92
SKU001_20240128_349,SKU001,2024-01-28,4,17.24,68.96
SKU001_20240129_251,SKU001,2024-01-29,3,17.24,51.72
SKU001_20240130_771,SKU001,2024-01-30,5,17.24,86.19999999999999
SKU001_20240131_804,SKU001,2024-01-31,5,17.24,86.19999999999999
SKU001_20240201_105,SKU001,2024-02-01,1,17.24,17.24
SKU001_20240202_868,SKU001,2024-02-02,2,17.24,34.48
SKU001_20240203_981,SKU001,2024-02-03,5,17.24,86.19999999999999
SKU001_20240204_888,SKU001,2024-02-04,7,17.24,120.67999999999999
SKU001_20240205_209,SKU001,2024-02-05,2,17.24,34.48
SKU001_20240206_897,SKU001,2024-02-06,1,17.24,17.24
SKU001_20240207_535,SKU001,2024-02-07,2,17.24,34.48
SKU001_20240208_324,SKU001,2024-02-08,3,17.24,51.72
SKU001_20240209_280,SKU001,2024-02-09,4,17.24,68.96
SKU001_20240210_923,SKU001,2024-02-10,6,17.24,103.44
SKU001_20240211_812,SKU001,2024-02-11,5,17.24,86.19999999999999
SKU001_20240212_630,SKU001,2024-02-12,7,17.24,120.67999999999999
SKU001_20240213_575,SKU001,2024-02-13,3,17.24,51.72
SKU001_20240214_151,SKU001,2024-02-14,2,17.24,34.48
SKU001_20240215_670,SKU001,2024-02-15,4,17.24,68.96
SKU001_20240216_355,SKU001,2024-02-16,5,17.24,86.19999999999999
SKU001_20240217_968,SKU001,2024-02-17,4,17.24,68.96
SKU001_20240218_224,SKU001,2024-02-18,8,17.24,137.92
SKU001_20240219_567,SKU001,2024-02-19,3,17.24,51.72
SKU001_20240220_236,SKU001,2024-02-20,6,17.24,103.44
SKU001_20240221_920,SKU001,2024-02-21,8,17.24,137.92
SKU001_20240222_575,SKU001,2024-02-22,5,17.24,86.19999999999999
SKU001_20240223_783,SKU001,2024-02-23,6,17.24,103.44
SKU001_20240224_643,SKU001,2024-02-24,9,17.24,155.16
SKU001_20240225_672,SKU001,2024-02-25,6,17.24,103.44
SKU001_20240226_709,SKU001,2024-02-26,1,17.24,17.24
SKU001_20240227_424,SKU001,2024-02-27,4,17.24,68.96
SKU001_20240228_873,SKU001,2024-02-28,2,17.24,34.48
SKU001_20240229_553,SKU001,2024-02-29,3,17.24,51.72
SKU001_20240301_727,SKU001,2024-03-01,2,17.24,34.48
SKU001_20240302_934,SKU001,2024-03-02,8,17.24,137.92
SKU001_20240303_836,SKU001,2024-03-03,2,17.24,34.48
SKU001_20240304_616,SKU001,2024-03-04,5,17.24,86.19999999999999
SKU001_20240305_536,SKU001,2024-03-05,4,17.24,68.96
SKU001_20240306_950,SKU001,2024-03-06,5,17.24,86.19999999999999
SKU001_20240307_661,SKU001,2024-03-07,2,17.24,34.48
SKU001_20240308_556,SKU001,2024-03-08,1,17.24,17.24
SKU001_20240309_262,SKU001,2024-03-09,4,17.24,68.96
SKU001_20240310_861,SKU001,2024-03-10,4,17.24,68.96
SKU001_20240311_982,SKU001,2024-03-11,2,17.24,34.48
SKU001_20240312_586,SKU001,2024-03-12,5,17.24,86.19999999999999
SKU001_20240313_560,SKU001,2024-03-13,2,17.24,34.48
SKU001_20240314_365,SKU001,2024-03-14,6,17.24,103.44
SKU001_20240315_869,SKU001,2024-03-15,5,17.24,86.19999999999999
SKU001_20240316_353,SKU001,2024-03-16,1,17.24,17.24
SKU001_20240317_960,SKU001,2024-03-17,2,17.24,34.48
SKU001_20240318_752,SKU001,2024-03-18,2,17.24,34.48
SKU001_20240319_383,SKU001,2024-03-19,3,17.24,51.72
SKU001_20240320_884,SKU001,2024-03-20,5,17.24,86.19999999999999
SKU001_20240321_896,SKU001,2024-03-21,6,17.24,103.44
SKU001_20240322_633,SKU001,2024-03-22,5,17.24,86.19999999999999
SKU001_20240323_596,SKU001,2024-03-23,6,17.24,103.44
SKU001_20240324_741,SKU001,2024-03-24,7,17.24,120.67999999999999
SKU001_20240325_344,SKU001,2024-03-25,6,17.24,103.44
