Land_ID,Location,State,District,Land_Type,Area_Acres,Current_Price_Per_Acre,Total_Value,Year_Purchased,Distance_to_Highway_KM,Distance_to_City_KM,Distance_to_Airport_KM,Water_Availability,Electricity_Availability,Zoning,Annual_Appreciation_Percent,Risk_Score,Market_Demand_Index,Expected_ROI_5Y,Population_Growth_Rate,Infrastructure_Score,Flood_Risk,Rental_Yield_Percent,Government_Project_Score,Road_Connectivity_Score,Last_Updated
L00001,Puri,Odisha,Puri,Commercial,11.81,13012201,153674093.81,2017,30.7,29.3,89.1,No,No,Residential,4.47,2,85,98,0.82,96,1,5.56,48,52,2026-05-29
L00002,Bhubaneswar,Odisha,Khordha,Commercial,5.94,5645175,33532339.5,2018,42.1,53.0,98.1,Yes,No,Agricultural,7.89,1,85,91,3.67,81,1,4.76,42,56,2026-05-29
L00003,Bhubaneswar,Odisha,Khordha,Agricultural,18.29,10978247,200792137.63,2023,45.9,6.4,95.9,No,Yes,Residential,16.33,3,93,104,4.24,50,4,2.99,61,78,2026-05-29
L00004,Bengaluru,Karnataka,Bengaluru Urban,Industrial,12.25,13988582,171360129.5,2021,37.4,49.1,73.8,Yes,Yes,Industrial,20.65,1,57,142,5.28,44,1,3.56,97,82,2026-05-29
L00005,Hyderabad,Telangana,Hyderabad,Commercial,11.3,1222012,13808735.6,2019,34.1,23.3,108.1,No,Yes,Agricultural,8.08,4,75,141,5.88,82,1,4.08,57,75,2026-05-29
L00006,Hyderabad,Telangana,Hyderabad,Industrial,23.12,12271976,283728085.12,2022,43.4,43.8,117.9,No,No,Mixed Use,15.78,3,55,27,1.31,64,3,3.34,56,67,2026-05-29
L00007,Bhubaneswar,Odisha,Khordha,Industrial,19.76,14492899,286379684.24,2015,4.9,33.1,19.5,Yes,No,Agricultural,17.22,2,88,128,5.63,72,1,1.55,48,81,2026-05-29
L00008,Sambalpur,Odisha,Sambalpur,Industrial,13.14,3629113,47686544.82,2020,20.5,22.6,89.9,No,Yes,Industrial,24.06,1,82,54,3.99,46,1,8.04,92,85,2026-05-29
L00009,Visakhapatnam,Andhra Pradesh,Visakhapatnam,Commercial,8.87,3400082,30158727.34,2021,8.2,17.5,27.4,No,No,Industrial,22.61,4,70,34,5.01,70,2,3.51,43,97,2026-05-29
L00010,Hyderabad,Telangana,Hyderabad,Commercial,7.67,11971044,91817907.48,2015,30.0,7.6,79.6,No,Yes,Mixed Use,20.94,3,75,88,1.39,42,1,3.45,59,85,2026-05-29
L00011,Bhubaneswar,Odisha,Khordha,Industrial,19.74,3813761,75283642.14,2026,2.3,7.0,35.0,No,Yes,Residential,19.26,3,79,79,1.34,91,3,8.72,72,59,2026-05-29
L00012,Visakhapatnam,Andhra Pradesh,Visakhapatnam,Industrial,21.62,973674,21050831.88,2022,26.0,26.6,75.2,Yes,No,Commercial,18.89,3,70,48,5.48,92,3,1.16,40,75,2026-05-29
L00013,Pune,Maharashtra,Pune,Residential,3.01,9451681,28449559.81,2022,44.1,52.7,75.5,Yes,Yes,Agricultural,11.04,1,68,74,0.56,56,3,4.57,45,91,2026-05-29
L00014,Hyderabad,Telangana,Hyderabad,Commercial,4.81,10987648,52850586.88,2026,32.9,45.0,77.6,No,No,Industrial,5.71,3,99,41,1.77,49,4,10.49,92,59,2026-05-29
L00015,Puri,Odisha,Puri,Agricultural,21.84,5475133,119576904.72,2020,5.9,53.8,14.3,Yes,No,Residential,6.62,4,94,78,1.32,100,5,1.11,64,41,2026-05-29
